#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 1-강수, 음수인 경우 null값)  
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202608131200   259   40.4    0.1   26.1    0.7  190.9    0.2   29.8  -99.9    0.0    0.0    0.0    0.0   54.0 1001.5 1003.3   19.5
202608131200   260  110.8    0.4  280.0    2.4  229.9    1.6   31.4  -99.9    0.0    0.0    0.0    0.0   49.9  998.3 1003.2   19.7
202608131200   261  279.5    3.4  279.0    3.4  277.8    1.7   30.6  -99.9    0.0    0.0    0.0    0.0   60.1 1001.9 1003.7   22.0
202608131200   262  293.0    2.0  313.0    2.7  301.5    2.1   30.2  -99.9    0.0    0.0    0.0    0.0   54.0  997.6 1003.4   19.9
202608131200   263  148.8    1.2  106.1    2.6  138.6    1.9   31.3  -99.9    0.0    0.0    0.0    0.0   49.7 1001.2 1002.8   19.6
202608131200   264   19.7    1.6   14.8    2.3   42.0    1.2   29.9  -99.9    0.0    0.0    0.0    0.0   56.5  986.2 1003.0   20.3
202608131200   266  285.9    1.8  285.9    1.8  214.9    2.0   31.1  -99.9    0.0    0.0    0.0    0.0   47.3  993.6 1003.4   18.6
202608131200   268  324.0    2.6  313.3    3.5   12.9    2.1   31.0  -99.9    0.0    0.0    0.0    0.0   52.0 1001.2 1002.3   20.0
202608131200   269   39.7    1.9   55.4    3.5   29.1    2.3   27.8  -99.9    0.0    0.0    0.0    0.0   68.5 1001.3 1004.5   21.5
202608131200   271  118.6    1.6  115.4    2.1  133.7    1.9   25.5  -99.9    0.0    0.0    2.1    2.1   72.8  967.6 1003.7   20.3
202608131200   272  301.5    4.1  295.5    5.9  303.9    4.1   25.5  -99.9    0.0    0.0    0.0    0.0   70.0  980.1 1003.8   19.6
202608131200   273  284.9    1.9  295.5    3.2  282.3    2.0   29.0  -99.9    0.0    0.0    0.0    0.0   59.0  983.7 1002.9   20.2
202608131200   276  158.7    1.1  154.2    1.5   98.4    1.2   26.5  -99.9    0.0    0.0    0.8    0.8   74.7  979.9 1003.2   21.6
202608131200   277   46.7    0.8   81.5    1.7  358.5    0.8   24.4  -99.9    0.0    0.0    0.2    0.2   85.3  999.0 1003.6   21.8
202608131200   278  292.6    1.3  258.8    1.8  339.4    1.2   29.1  -99.9    0.0    0.0    0.2    0.2   56.1  993.4 1002.5   19.5
202608131200   279  324.2    1.3  295.0    2.2  301.9    1.5   30.8  -99.9    0.0    0.0    0.0    0.0   53.6  997.7 1003.2   20.3
202608131200   281   56.2    1.6   59.0    2.2   93.5    1.0   29.1  -99.9    0.0    0.0    0.0    0.0   55.7  992.8 1003.5   19.4
202608131200   283   58.2    3.7   53.2    5.0   33.1    2.9   29.3  -99.9    0.0    0.0    0.0    0.0   62.1  999.0 1003.5   21.3
202608131200   284   21.7    1.9   54.5    3.3   17.8    1.7   28.7  -99.9    0.0    0.0    0.0    0.0   63.8  977.7 1003.0   21.2
202608131200   285   26.0    1.4   16.8    1.9   12.3    1.8   30.3  -99.9    0.0    0.0    0.0    0.0   53.7 1000.4 1003.4   19.9
202608131200   288  284.0    2.7  265.0    3.8  265.5    2.2   32.2  -99.9    0.0    0.0    0.0    0.0   45.5 1000.0 1000.9   19.0
202608131200   289  321.2    2.3  315.2    3.0  340.3    2.0   31.6  -99.9    0.0    0.0    0.0    0.0   52.5  988.4 1003.6   20.7
202608131200   294  299.4    0.9  304.0    1.3  324.9    1.0   29.1  -99.9    0.0    0.0    0.0    0.0   56.5  998.8 1003.8   19.6
202608131200   295   82.5    2.0   53.4    2.9   74.8    1.2   29.9  -99.9    0.0    0.0    0.0    0.0   54.7  998.4 1003.5   19.8
202608131200   296   77.3    0.7   33.5    1.9   92.7    1.5   31.3  -99.9    0.0    0.0    0.0    0.0   51.0 1001.5 1001.8   20.0
202608131200   300   20.7    3.7   12.2    4.5   33.9    3.3   30.2  -99.9    0.0    0.0    0.0    0.0   64.4  999.0 1003.9   22.7
202608131200   301  240.0    2.1  219.0    3.0  239.7    3.4   30.9  -99.9    0.0    0.0    0.0    0.0   52.7 1002.4 1003.9   20.1
202608131200   302   50.0    2.9   54.0    3.2   52.8    2.7   28.8  -99.9    0.0    0.0    0.0    0.0   64.8 1003.3 1004.0   21.5
