#START7777
#--------------------------------------------------------------------------------------------------
# STN_ID : 지점번호
#    LON : 경도(degree) / LAT : 위도(degree)
# STN_SP : 지점 특성코드
#          - 첫째자리 : 0(목측), 5(목측+레이저(L)), 6(레이저적설계(L))
#          - 둘째자리 : 0(기상관서), 1(외부)
#     HT : 노장 해발고도 (m)
# STN_CD : 지점코드
# STN_KO : 지점명(한글)
# STN_AD : 관리관서번호
# FCT_ID : 예보구역코드
# LAW_ID : 법정동코드
#--------------------------------------------------------------------------------------------------
# STN           LON           LAT STN_SP          HT STN STN_KO               FCT_ID   LAW_ID    
#  ID         degee        degree --------         m  AD -------------------- -------- ----------
  819  128.88641000   36.65875000 618         203.21 136 예안                 11H10500 4717041034
  820  128.52665000   36.54819000 618          75.76 136 하회                 11H10500 4717034033
  821  128.07393000   36.28187000 618          91.11 143 공성                 11H10302 4725035023
  822  128.15520000   36.11987000 618          79.24 143 김천                 11H10601 4715011600
  929  128.30701000   35.11369000 618         129.52 159 개천                 11H20400 4882038021
  930  128.23814000   34.80992000 618           6.64 159 사량도               11H20401 4822037024
  931  128.27351000   34.62230000 618          76.04 159 욕지도               11H20401 4822035021
  932  127.76640000   35.06030000 618           8.00 155 하동                 11H20704 4885025024
  933  127.83238000   34.99676000 618          32.22 155 금남                 11H20406 4885036027
  934  127.92840000   35.22170000 618         132.00 155 수곡                 11H20700 4817046022
  935  128.34114000   35.56979000 618          23.63 152 청덕                 11H20500 4889039033
  936  128.20230000   35.33263000 618          61.21 155 신포                 11H20602 4872032023
  937  129.16068000   35.17721000 618          81.87 159 해운대               11H20201 2635010500
  938  129.01920000   35.15890000 618         114.00 159 부산진               11H20200 2623011100
  939  129.10348000   35.29320000 618          49.26 159 금정구               11H20201 2641010100
  940  129.09010000   35.20919000 618          71.50 159 동래                 11H20200 2626010500
  941  129.00258000   35.21304000 618           6.94 159 북구                 11H20200 2632010400
  942  129.08841000   35.11863000 618         124.26 159 부산남구             11H20200 2629011100
  943  129.37502000   35.66706000 618         460.23 152 매곡                 11H20101 3120010300
  944  128.57060000   35.38530000 618          23.00 152 길곡                 11H20600 4874041021
  945  127.99010000   35.53452000 618         231.31 152 대병                 11H20503 4889045026
  946  127.81830000   35.77980000 618         324.91 152 북상                 11H20500 4888034022
  947  128.59080000   34.72193000 618          30.51 159 명사                 11H20400 4831033022
  948  127.83448000   35.31074000 618         140.43 155 삼장                 11H20703 4886035025
  949  129.44100000   35.63750000 618           8.00 152 정자                 11H20100 3120011800
  950  128.98393000   35.09004000 618         127.00 159 사하                 11H20201 2638010400
  951  126.90733000   35.50869000 618         105.90 146 내장산               11F10203 5218011900
  953  128.67960000   34.99850000 618          33.00 159 장목                 11H20400 4831039026
  954  129.36011000   35.43103000 618          53.92 152 온산                 11H20101 3171025030
  964  126.81574000   34.45902000 618          49.92 165 마량                 11F20303 1278040024
  965  126.53303000   33.35237000 618        1576.00 184 한라산남벽           11G00300 5013011100
  970  127.25024000   38.20160000 618         179.45 101 철원장흥             11D10101 5178025923
  973  126.94961000   35.02330000 618          39.64 156 화순능주             11F20505 1276035031
  974  128.15605000   35.24435000 618          16.78 155 대곡                 11H20701 4817040024
  977  127.46688000   36.72455000 618          40.35 131 오창가곡             11C10301 4311425300
  978  127.77626000   37.95461000 618         140.37 101 춘천신북             11D10300 5111025023
  980  126.48917000   33.25992000 618         135.00 184 강정                 11G00400 5013011600
  989  126.32992000   33.25792000 618          91.20 184 안덕화순             11G00400 5013031021
  990  126.23053000   33.31821000 618          76.00 184 낙천                 11G00500 5013011600
  991  128.44562000   35.80279000 618          27.50 143 옥포                 11H10701 2771026221
  992  128.44640000   35.90620000 618          35.50 143 하빈                 11H10701 2771033026
  993  126.30985000   33.34225000 618         279.00 184 제주금악             11G00900 5011025025
  994  126.64211200   35.85446400 618           3.00 146 심포                 21F10502 5221041000
  995  129.38223000   35.92860000 618          80.32 138 오천                 11H10201 4711125623
  996  127.89492000   36.37207000 618         360.46 143 화동                 11H10302 4725040029
 5343  129.37963000   36.03259000 600           2.28 138 포항                 11H10201 4711110400
 9000  127.71040000   37.75908000 619         196.55 101 덕만이고개           11D10301 5111040022
 9001  128.88591000   37.31556000 619         838.00 105 오두재               11D20300 5123032031
 9002  128.45639000   38.21481000 619         446.00 105 미시령터널           11D20100 5182033033
 9011  129.01312000   37.56650000 619          87.00 105 옥계면               11D20501 5115035026
 9012  128.66608000   37.84338000 619         195.00 105 연곡면               11D20200 5115037028
 9020  129.04521000   37.23647000 619         244.00 105 도계읍               11D20300 5123025030
 9021  129.16406000   37.34780000 619         159.00 105 하월산               11D20300 5123033027
 9036  127.59995000   37.73218000 619          71.39 101 춘천발산             11D10301 5111034024
 9037  127.64088000   38.02992000 619         130.17 101 춘천신포             11D10301 5111036021
 9038  127.73011000   37.88149000 619         135.53 101 춘천옥천             11D10301 5111010700
 9046  128.57002000   37.12572000 619         196.97 105 영월옥동             11D10501 5175032524
 9047  128.45532000   37.25445000 619         256.10 105 영월마차             11D10501 5175033021
 9048  128.26892000   37.27218000 619         262.17 105 영월무릉             11D10501 5175038021
 9055  128.20838000   38.21787000 619         301.57 105 인제천도             11D20100 5181034021
 9056  128.19412000   38.00978000 619         490.57 105 인제원대             11D10201 5181025026
 9057  128.29993000   38.06956000 619         750.64 105 인제덕적             11D20100 5181025025
 9058  128.37039000   38.07277000 619         564.23 105 인제귀둔             11D20100 5181025027
 9059  128.21090000   37.94760000 619         590.73 105 인제정자             11D10201 5181031026
 9060  128.37377000   38.00353000 619         720.15 105 인제진동             11D20100 5181033025
 9061  128.74058000   37.26879000 619         435.24 105 정선문곡             11D10502 5177032021
 9062  128.72050000   37.47057000 619         386.51 105 정선여량             11D20300 5177037021
 9063  128.78779000   37.34023000 619         467.14 105 정선화암             11D20300 5177036021
 9064  128.67140000   37.21816000 619         452.35 105 정선조동             11D10502 5177025923
 9065  128.85170000   37.20390000 619         732.09 105 정선고한             11D20300 5177025321
 9066  128.94130000   37.52160000 619         662.19 105 정선백복령           11D20300 5177035021
 9067  127.66651000   38.05762000 619         121.86 101 화천원천             11D10102 5179032021
 9068  127.65417000   38.15790000 619         182.22 101 화천파포             11D10102 5179033025
 9069  127.70868000   38.10634000 619         116.08 101 화천아리             11D10102 5179025021
 9070  127.59992000   38.18805000 619         306.77 101 화천봉오             11D10102 5179033029
 9071  129.00385000   37.37177000 619         750.00 105 삼척번천             11D20300 5123032022
  794  127.42734000   35.10070000 618          71.30 156 황전                 11F20603 1215033024
  795  127.13900000   35.27530000 618          83.90 156 옥과                 11F20600 1272037023
  796  127.24476000   34.23775000 618          38.00 168 초도                 11F20400 1213036025
  797  125.29953000   34.39498000 618          35.63 169 하태도               11F20700 1287036030
  798  125.19236000   34.68551000 618          23.21 169 홍도                 11F20700 1287036029
  799  126.13494000   35.20198000 618          19.46 156 낙월도               21F20102 1283038021
  800  129.44360000   36.72570000 618          10.00 143 평해                 11H10100 4793025321
  801  129.08800000   36.62500000 618         215.00 136 영양                 11H10403 4776025023
  802  129.34008000   36.75743000 618         142.31 136 온정                 11H10100 4793036029
  803  128.79902000   36.40637000 618         185.00 143 옥산                 11H10502 4773033038
  804  129.33921940   36.19056111 618          65.50 143 청하                 11H10201 4711332023
  805  129.09434300   36.17927900 618         227.04 138 죽장                 11H10201 4711335034
  806  128.29031000   36.23337000 618          38.37 143 선산                 11H10600 4719025024
  807  128.69318000   36.17966000 618         114.26 143 의흥                 11H10707 2772035023
  808  129.56673000   36.07597000 618          11.41 138 호미곶               11H10201 4711135022
  809  127.97919000   35.93544000 618         205.10 143 대덕                 11H10601 4715044032
  810  128.29850000   35.92552000 618          39.43 143 성주                 11H10605 4784025025
  811  129.20930000   35.86300000 618          33.58 143 황성                 11H10202 4713012400
  812  128.28214000   35.69604000 618          41.45 143 고령                 11H10604 4783025333
  813  128.73183000   35.65405000 618          76.29 143 청도                 11H10704 4782025028
  814  128.66103000   36.97916000 618         302.79 136 부석                 11H10401 4721039024
  815  128.46461000   36.65996000 618         102.13 136 예천                 11H10303 4790025024
  816  129.54750000   35.98310000 618          42.37 138 구룡포               11H10201 4711125028
  817  129.22121000   36.78267000 618         381.39 136 수비                 11H10800 4776034030
  818  128.14792000   36.70781000 618         217.28 136 마성                 11H10300 4728036027
  317  127.11420000   35.72950000 618         101.30 146 구이                 11F10204 5271035025
